DATA INICIAL,DATA FINAL,REGIAO,ESTADO,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,MARGEM MEDIA REVENDA,COEF DE VARIACAO REVENDA,PRECO MEDIO DISTRIBUICAO,DESVIO PADRAO DISTRIBUICAO,PREÇO MINIMO DISTRIBUICAO,PRECO MAXIMO DISTRIBUICAO,COEF DE VARIACAO DISTRIBUICAO
30/12/2012,05/01/2013,NORTE,ACRE,ETANOL HIDRATADO,33,R$/l,2.553,0.098,2.420,3.000,0.428,0.038,2.125,0.170,1.624,2.274,0.080
30/12/2012,05/01/2013,NORDESTE,ALAGOAS,ETANOL HIDRATADO,97,R$/l,2.308,0.066,2.190,2.440,0.270,0.029,2.038,0.061,1.906,2.223,0.030
30/12/2012,05/01/2013,NORTE,ACRE,ETANOL HIDRATADO,33,R$/l,2.553,0.098,2.420,3.000,0.428,0.038,2.125,0.170,1.624,2.274,0.080
30/12/2012,05/01/2013,NORDESTE,ALAGOAS,ETANOL HIDRATADO,97,R$/l,2.308,0.066,2.190,2.440,0.270,0.029,2.038,0.061,1.906,2.223,0.030
30/12/2012,05/01/2013,NORTE,AMAPA,ETANOL HIDRATADO,7,R$/l,2.260,0.045,2.180,2.320,0,0.020,0,0,0,0,0
30/12/2012,05/01/2013,NORTE,AMAZONAS,ETANOL HIDRATADO,70,R$/l,2.315,0.080,2.220,2.620,0.189,0.035,2.126,0.045,1.994,2.217,0.021
30/12/2012,05/01/2013,NORDESTE,BAHIA,ETANOL HIDRATADO,414,R$/l,2.167,0.127,1.850,2.599,0.286,0.059,1.881,0.118,1.620,2.140,0.063
30/12/2012,05/01/2013,NORDESTE,CEARA,ETANOL HIDRATADO,211,R$/l,2.201,0.087,2.030,2.450,0.172,0.040,2.029,0.042,1.913,2.091,0.021
30/12/2012,05/01/2013,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,80,R$/l,2.273,0.023,2.190,2.299,0.405,0.010,1.868,0.017,1.843,1.887,0.009
30/12/2012,05/01/2013,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,170,R$/l,2.453,0.079,2.190,2.690,0.345,0.032,2.108,0.095,2.009,2.363,0.045
